date,series,value
2020-03-19,COM.US.Equity,16.2625
2020-03-20,BCOM.TR,130.3159
2020-03-20,GSCI.TR,1529.648
2020-03-20,XAUUSD.Curncy,1498.65
2020-03-20,COM.US.Equity,16.1369
2020-03-23,BCOM.TR,132.2568
2020-03-23,GSCI.TR,1541.623
2020-03-23,XAUUSD.Curncy,1553.23
2020-03-23,COM.US.Equity,16.2865
2020-03-24,BCOM.TR,136.0065
2020-03-24,GSCI.TR,1582.281
2020-03-24,XAUUSD.Curncy,1632.32
2020-03-24,COM.US.Equity,16.6416
2020-03-25,BCOM.TR,136.472
2020-03-25,GSCI.TR,1598.658
2020-03-25,XAUUSD.Curncy,1616.9
2020-03-25,COM.US.Equity,16.512
2020-03-26,BCOM.TR,135.0656
2020-03-26,GSCI.TR,1556.482
2020-03-26,XAUUSD.Curncy,1631.34
2020-03-26,COM.US.Equity,16.573
2020-03-27,BCOM.TR,133.763
2020-03-27,GSCI.TR,1529.411
2020-03-27,XAUUSD.Curncy,1628.16
2020-03-27,COM.US.Equity,16.3443
2020-03-30,BCOM.TR,132.3753
2020-03-30,GSCI.TR,1489.074
2020-03-30,XAUUSD.Curncy,1622.51
2020-03-30,COM.US.Equity,16.1537
2020-03-31,BCOM.TR,131.9359
2020-03-31,GSCI.TR,1494.343
2020-03-31,XAUUSD.Curncy,1577.18
2020-03-31,COM.US.Equity,16.2643
2020-04-01,BCOM.TR,128.592
2020-04-01,GSCI.TR,1445.109
2020-04-01,XAUUSD.Curncy,1591.51
2020-04-01,COM.US.Equity,16.2605
2020-04-02,BCOM.TR,131.2772
2020-04-02,GSCI.TR,1543.51
2020-04-02,XAUUSD.Curncy,1613.99
2020-04-02,COM.US.Equity,16.3596
2020-04-03,BCOM.TR,132.6578
2020-04-03,GSCI.TR,1610.742
2020-04-03,XAUUSD.Curncy,1620.81
2020-04-03,COM.US.Equity,16.2948
2020-04-06,BCOM.TR,133.9859
2020-04-06,GSCI.TR,1588.877
2020-04-06,XAUUSD.Curncy,1660.97
2020-04-06,COM.US.Equity,16.3481
2020-04-07,BCOM.TR,134.8425
2020-04-07,GSCI.TR,1564.506
2020-04-07,XAUUSD.Curncy,1647.72
2020-04-07,COM.US.Equity,16.3215
2020-04-08,BCOM.TR,134.6888
2020-04-08,GSCI.TR,1584.114
2020-04-08,XAUUSD.Curncy,1646.14
2020-04-08,COM.US.Equity,16.2795
2020-04-09,BCOM.TR,135.3908
2020-04-09,GSCI.TR,1559.826
2020-04-09,XAUUSD.Curncy,1683.73
2020-04-09,COM.US.Equity,16.2681
2020-04-10,BCOM.TR,135.3908
2020-04-10,GSCI.TR,1559.826
2020-04-10,XAUUSD.Curncy,1696.65
2020-04-10,COM.US.Equity,16.2681
2020-04-13,BCOM.TR,135.1981
2020-04-13,GSCI.TR,1558.766
2020-04-13,XAUUSD.Curncy,1715.34
2020-04-13,COM.US.Equity,16.3748
2020-04-14,BCOM.TR,134.4888
2020-04-14,GSCI.TR,1524.482
2020-04-14,XAUUSD.Curncy,1726.97
2020-04-14,COM.US.Equity,16.4282
2020-04-15,BCOM.TR,132.1739
2020-04-15,GSCI.TR,1482.936
2020-04-15,XAUUSD.Curncy,1717.03
2020-04-15,COM.US.Equity,16.2605
2020-04-16,BCOM.TR,132.364
2020-04-16,GSCI.TR,1481.347
2020-04-16,XAUUSD.Curncy,1717.7
2020-04-16,COM.US.Equity,16.2528
2020-04-17,BCOM.TR,132.4482
2020-04-17,GSCI.TR,1480.896
2020-04-17,XAUUSD.Curncy,1682.82
2020-04-17,COM.US.Equity,16.2872
2020-04-20,BCOM.TR,132.2049
2020-04-20,GSCI.TR,1415.904
2020-04-20,XAUUSD.Curncy,1695.65
2020-04-20,COM.US.Equity,16.2261
2020-04-21,BCOM.TR,126.9362
2020-04-21,GSCI.TR,1249.251
2020-04-21,XAUUSD.Curncy,1686.2
2020-04-21,COM.US.Equity,16.215
2020-04-22,BCOM.TR,129.4404
2020-04-22,GSCI.TR,1296.096
2020-04-22,XAUUSD.Curncy,1714.08
2020-04-22,COM.US.Equity,16.2341
2020-04-23,BCOM.TR,129.641
2020-04-23,GSCI.TR,1331.945
2020-04-23,XAUUSD.Curncy,1730.51
2020-04-23,COM.US.Equity,16.3329
2020-04-24,BCOM.TR,128.4981
2020-04-24,GSCI.TR,1321.524
2020-04-24,XAUUSD.Curncy,1729.6
2020-04-24,COM.US.Equity,16.3176
2020-04-27,BCOM.TR,127.0348
2020-04-27,GSCI.TR,1261.379
2020-04-27,XAUUSD.Curncy,1713.99
2020-04-27,COM.US.Equity,16.3329
2020-04-28,BCOM.TR,127.2242
2020-04-28,GSCI.TR,1260.149
2020-04-28,XAUUSD.Curncy,1707.79
2020-04-28,COM.US.Equity,16.3291
2020-04-29,BCOM.TR,127.7246
2020-04-29,GSCI.TR,1291.968
2020-04-29,XAUUSD.Curncy,1713.41
2020-04-29,COM.US.Equity,16.352
2020-04-30,BCOM.TR,129.9062
2020-04-30,GSCI.TR,1349.817
2020-04-30,XAUUSD.Curncy,1686.5
2020-04-30,COM.US.Equity,16.2756
2020-05-01,BCOM.TR,129.4976
2020-05-01,GSCI.TR,1346.903
2020-05-01,XAUUSD.Curncy,1700.42
2020-05-01,COM.US.Equity,16.3215
2020-05-04,BCOM.TR,130.0627
2020-05-04,GSCI.TR,1360.576
2020-05-04,XAUUSD.Curncy,1702.07
2020-05-04,COM.US.Equity,16.3443
2020-05-05,BCOM.TR,132.9165
2020-05-05,GSCI.TR,1439.796
2020-05-05,XAUUSD.Curncy,1705.92
2020-05-05,COM.US.Equity,16.3977
2020-05-06,BCOM.TR,131.1085
2020-05-06,GSCI.TR,1411.355
2020-05-06,XAUUSD.Curncy,1685.71
2020-05-06,COM.US.Equity,16.3977
2020-05-07,BCOM.TR,132.2496
2020-05-07,GSCI.TR,1418.034
