"","date","series","value"
"309",2020-08-10,"XAUUSD.Curncy",2027.34
"310",2020-08-10,"S.P500.TR",6895.59
"311",2020-08-10,"ABCTRI",4315.042076
"312",2020-08-10,"CL1.Comdty",41.94
"313",2020-08-11,"BCOM.TR",149.1477
"314",2020-08-11,"GSCI.TR",1742.002
"315",2020-08-11,"XAUUSD.Curncy",1911.89
"316",2020-08-11,"S.P500.TR",6840.67
"317",2020-08-11,"ABCTRI",4249.96407
"318",2020-08-11,"CL1.Comdty",41.61
"319",2020-08-12,"BCOM.TR",149.9563
"320",2020-08-12,"GSCI.TR",1762.904
"321",2020-08-12,"XAUUSD.Curncy",1915.83
"322",2020-08-12,"S.P500.TR",6937.44
"323",2020-08-12,"ABCTRI",4246.454963
"324",2020-08-12,"CL1.Comdty",42.67
"325",2020-08-13,"BCOM.TR",151.1671
"326",2020-08-13,"GSCI.TR",1761.114
"327",2020-08-13,"XAUUSD.Curncy",1953.71
"328",2020-08-13,"S.P500.TR",6924.96
"329",2020-08-13,"ABCTRI",4281.393197
"330",2020-08-13,"CL1.Comdty",42.24
"331",2020-08-14,"BCOM.TR",151.1018
"332",2020-08-14,"GSCI.TR",1761.726
"333",2020-08-14,"XAUUSD.Curncy",1945.12
"334",2020-08-14,"S.P500.TR",6924.28
"335",2020-08-14,"ABCTRI",4253.859277
"336",2020-08-14,"CL1.Comdty",42.01
"337",2020-08-17,"BCOM.TR",153.6884
"338",2020-08-17,"GSCI.TR",1786.962
"339",2020-08-17,"XAUUSD.Curncy",1985.3
"340",2020-08-17,"S.P500.TR",6943.22
"341",2020-08-17,"ABCTRI",4309.988587
"342",2020-08-17,"CL1.Comdty",42.89
"343",2020-08-18,"BCOM.TR",154.662
"344",2020-08-18,"GSCI.TR",1792.043
"345",2020-08-18,"XAUUSD.Curncy",2002.44
"346",2020-08-18,"S.P500.TR",6960.3
"347",2020-08-18,"ABCTRI",4323.223499
"348",2020-08-18,"CL1.Comdty",42.89
"349",2020-08-19,"BCOM.TR",154.3651
"350",2020-08-19,"GSCI.TR",1793.583
"351",2020-08-19,"XAUUSD.Curncy",1928.98
"352",2020-08-19,"S.P500.TR",6930.8
"353",2020-08-19,"ABCTRI",4327.377449
"354",2020-08-19,"CL1.Comdty",42.93
"355",2020-08-20,"BCOM.TR",153.187
"356",2020-08-20,"GSCI.TR",1782.472
"357",2020-08-20,"XAUUSD.Curncy",1947.26
"358",2020-08-20,"S.P500.TR",6952.92
"359",2020-08-20,"ABCTRI",4307.51216
"360",2020-08-20,"CL1.Comdty",42.58
"361",2020-08-21,"BCOM.TR",152.4965
"362",2020-08-21,"GSCI.TR",1767.734
"363",2020-08-21,"XAUUSD.Curncy",1940.48
"364",2020-08-21,"S.P500.TR",6977.27
"365",2020-08-21,"ABCTRI",4285.277775
"366",2020-08-21,"CL1.Comdty",42.34
"367",2020-08-24,"BCOM.TR",152.9137
"368",2020-08-24,"GSCI.TR",1781.825
"369",2020-08-24,"XAUUSD.Curncy",1928.88
"370",2020-08-24,"S.P500.TR",7048.17
"371",2020-08-24,"ABCTRI",4306.97816
"372",2020-08-24,"CL1.Comdty",42.62
"373",2020-08-25,"BCOM.TR",153.689
"374",2020-08-25,"GSCI.TR",1801.147
"375",2020-08-25,"XAUUSD.Curncy",1928.18
"376",2020-08-25,"S.P500.TR",7073.6
"377",2020-08-25,"ABCTRI",4321.485124
"378",2020-08-25,"CL1.Comdty",43.35
"379",2020-08-26,"BCOM.TR",154.2883
"380",2020-08-26,"GSCI.TR",1800.325
"381",2020-08-26,"XAUUSD.Curncy",1954.46
"382",2020-08-26,"S.P500.TR",7145.77
"383",2020-08-26,"ABCTRI",4332.716362
"384",2020-08-26,"CL1.Comdty",43.39
"385",2020-08-27,"BCOM.TR",154.9686
"386",2020-08-27,"GSCI.TR",1795.103
"387",2020-08-27,"XAUUSD.Curncy",1929.54
"388",2020-08-27,"S.P500.TR",7158.18
"389",2020-08-27,"ABCTRI",4334.240875
"390",2020-08-27,"CL1.Comdty",43.04
"391",2020-08-28,"BCOM.TR",156.0781
"392",2020-08-28,"GSCI.TR",1800.706
"393",2020-08-28,"XAUUSD.Curncy",1964.83
"394",2020-08-28,"S.P500.TR",7207.1
"395",2020-08-28,"ABCTRI",4360.817643
"396",2020-08-28,"CL1.Comdty",42.97
"397",2020-08-31,"BCOM.TR",156.4625
"398",2020-08-31,"GSCI.TR",1792.028
"399",2020-08-31,"XAUUSD.Curncy",1967.8
"400",2020-08-31,"S.P500.TR",7192.11
"401",2020-08-31,"ABCTRI",4369.511798
"402",2020-08-31,"CL1.Comdty",42.61
"403",2020-09-01,"BCOM.TR",156.8631
"404",2020-09-01,"GSCI.TR",1799.764
"405",2020-09-01,"XAUUSD.Curncy",1970.18
"406",2020-09-01,"S.P500.TR",7246.37
"407",2020-09-01,"ABCTRI",4375.022787
"408",2020-09-01,"CL1.Comdty",42.76
"409",2020-09-02,"BCOM.TR",155.4359
"410",2020-09-02,"GSCI.TR",1769.577
"411",2020-09-02,"XAUUSD.Curncy",1942.92
"412",2020-09-02,"S.P500.TR",7358.49
"413",2020-09-02,"ABCTRI",4357.181821
"414",2020-09-02,"CL1.Comdty",41.51
"415",2020-09-03,"BCOM.TR",154.2912
"416",2020-09-03,"GSCI.TR",1755.255
"417",2020-09-03,"XAUUSD.Curncy",1930.91
"418",2020-09-03,"S.P500.TR",7101.38
"419",2020-09-03,"ABCTRI",4334.26284
"420",2020-09-03,"CL1.Comdty",41.37
"421",2020-09-04,"BCOM.TR",154.492
"422",2020-09-04,"GSCI.TR",1736.5
"423",2020-09-04,"XAUUSD.Curncy",1933.94
"424",2020-09-04,"S.P500.TR",7043.62
"425",2020-09-04,"ABCTRI",4333.405169
"426",2020-09-04,"CL1.Comdty",39.77
"427",2020-09-07,"BCOM.TR",154.492
"428",2020-09-07,"GSCI.TR",1736.5
"429",2020-09-07,"XAUUSD.Curncy",1933.64
"430",2020-09-07,"S.P500.TR",7043.62
"431",2020-09-07,"ABCTRI",4333.585038
"432",2020-09-07,"CL1.Comdty",39.77
"433",2020-09-08,"BCOM.TR",152.3703
"434",2020-09-08,"GSCI.TR",1673.753
"435",2020-09-08,"XAUUSD.Curncy",1932.03
"436",2020-09-08,"S.P500.TR",6848.42
"437",2020-09-08,"ABCTRI",4288.194464
"438",2020-09-08,"CL1.Comdty",36.76
"439",2020-09-09,"BCOM.TR",153.0287
"440",2020-09-09,"GSCI.TR",1696.326
"441",2020-09-09,"XAUUSD.Curncy",1946.84
"442",2020-09-09,"S.P500.TR",6986.76
"443",2020-09-09,"ABCTRI",4311.644915
"444",2020-09-09,"CL1.Comdty",38.05
"445",2020-09-10,"BCOM.TR",152.5703
"446",2020-09-10,"GSCI.TR",1684.862
"447",2020-09-10,"XAUUSD.Curncy",1946.09
"448",2020-09-10,"S.P500.TR",6864.23
"449",2020-09-10,"ABCTRI",4297.768668
"450",2020-09-10,"CL1.Comdty",37.3
"451",2020-09-11,"BCOM.TR",152.7145
"452",2020-09-11,"GSCI.TR",1686.429
"453",2020-09-11,"XAUUSD.Curncy",1940.55
"454",2020-09-11,"S.P500.TR",6868.22
"455",2020-09-11,"ABCTRI",4312.982744
"456",2020-09-11,"CL1.Comdty",37.33
"457",2020-09-14,"BCOM.TR",153.1189
"458",2020-09-14,"GSCI.TR",1688.833
"459",2020-09-14,"XAUUSD.Curncy",1956.86
"460",2020-09-14,"S.P500.TR",6957.91
"461",2020-09-14,"ABCTRI",4347.040175
"462",2020-09-14,"CL1.Comdty",37.26
"463",2020-09-15,"BCOM.TR",153.2288
"464",2020-09-15,"GSCI.TR",1701.903
"465",2020-09-15,"XAUUSD.Curncy",1954.15
"466",2020-09-15,"S.P500.TR",6994.33
"467",2020-09-15,"ABCTRI",4359.041272
"468",2020-09-15,"CL1.Comdty",38.28
"469",2020-09-16,"BCOM.TR",154.299
"470",2020-09-16,"GSCI.TR",1735.68
"471",2020-09-16,"XAUUSD.Curncy",1959.26
"472",2020-09-16,"S.P500.TR",6962.29
"473",2020-09-16,"ABCTRI",4411.696713
"474",2020-09-16,"CL1.Comdty",40.16
"475",2020-09-17,"BCOM.TR",154.49
"476",2020-09-17,"GSCI.TR",1756.596
"477",2020-09-17,"XAUUSD.Curncy",1944.44
"478",2020-09-17,"S.P500.TR",6903.82
"479",2020-09-17,"ABCTRI",4427.906013
"480",2020-09-17,"CL1.Comdty",40.97
"481",2020-09-18,"BCOM.TR",155.7289
"482",2020-09-18,"GSCI.TR",1765.478
"483",2020-09-18,"XAUUSD.Curncy",1950.86
"484",2020-09-18,"S.P500.TR",6826.72
"485",2020-09-18,"ABCTRI",4455.032034
"486",2020-09-18,"CL1.Comdty",41.11
"487",2020-09-21,"BCOM.TR",151.869
"488",2020-09-21,"GSCI.TR",1712.884
"489",2020-09-21,"XAUUSD.Curncy",1912.51
"490",2020-09-21,"S.P500.TR",6748.08
"491",2020-09-21,"ABCTRI",4358.861261
"492",2020-09-21,"CL1.Comdty",39.31
"493",2020-09-22,"BCOM.TR",151.5249
"494",2020-09-22,"GSCI.TR",1715.838
"495",2020-09-22,"XAUUSD.Curncy",1900.21
"496",2020-09-22,"S.P500.TR",6819.08
"497",2020-09-22,"ABCTRI",4367.003119
"498",2020-09-22,"CL1.Comdty",39.6
"499",2020-09-23,"BCOM.TR",151.0351
"500",2020-09-23,"GSCI.TR",1714.707
"501",2020-09-23,"XAUUSD.Curncy",1863.34
"502",2020-09-23,"S.P500.TR",6657.82
"503",2020-09-23,"ABCTRI",4329.545953
"504",2020-09-23,"CL1.Comdty",39.93
"505",2020-09-24,"BCOM.TR",151.2472
"506",2020-09-24,"GSCI.TR",1718.337
"507",2020-09-24,"XAUUSD.Curncy",1868.07
"508",2020-09-24,"S.P500.TR",6678.04
"509",2020-09-24,"ABCTRI",4317.899501
"510",2020-09-24,"CL1.Comdty",40.31
"511",2020-09-25,"BCOM.TR",150.8655
"512",2020-09-25,"GSCI.TR",1717.179
"513",2020-09-25,"XAUUSD.Curncy",1861.58
"514",2020-09-25,"S.P500.TR",6784.95
"515",2020-09-25,"ABCTRI",4323.347692
"516",2020-09-25,"CL1.Comdty",40.25
"517",2020-09-28,"BCOM.TR",151.5106
"518",2020-09-28,"GSCI.TR",1728.707
"519",2020-09-28,"XAUUSD.Curncy",1881.48
"520",2020-09-28,"S.P500.TR",6894.27
"521",2020-09-28,"ABCTRI",4337.019057
"522",2020-09-28,"CL1.Comdty",40.6
"523",2020-09-29,"BCOM.TR",149.974
"524",2020-09-29,"GSCI.TR",1700.685
"525",2020-09-29,"XAUUSD.Curncy",1898.07
"526",2020-09-29,"S.P500.TR",6861.96
"527",2020-09-29,"ABCTRI",4320.999685
"528",2020-09-29,"CL1.Comdty",39.29
"529",2020-09-30,"BCOM.TR",151.2189
"530",2020-09-30,"GSCI.TR",1726.81
"531",2020-09-30,"XAUUSD.Curncy",1885.82
"532",2020-09-30,"S.P500.TR",6918.83
"533",2020-09-30,"ABCTRI",4399.54777
"534",2020-09-30,"CL1.Comdty",40.22
"535",2020-10-01,"BCOM.TR",149.9318
"536",2020-10-01,"GSCI.TR",1693.712
"537",2020-10-01,"XAUUSD.Curncy",1906.01
"538",2020-10-01,"S.P500.TR",6956.2
"539",2020-10-01,"ABCTRI",4369.631594
"540",2020-10-01,"CL1.Comdty",38.72
"541",2020-10-02,"BCOM.TR",148.981
"542",2020-10-02,"GSCI.TR",1664.184
"543",2020-10-02,"XAUUSD.Curncy",1899.84
"544",2020-10-02,"S.P500.TR",6889.65
"545",2020-10-02,"ABCTRI",4358.388392
"546",2020-10-02,"CL1.Comdty",37.05
"547",2020-10-05,"BCOM.TR",151.6342
"548",2020-10-05,"GSCI.TR",1713.021
"549",2020-10-05,"XAUUSD.Curncy",1913.53
"550",2020-10-05,"S.P500.TR",7014.23
"551",2020-10-05,"ABCTRI",4412.34372
"552",2020-10-05,"CL1.Comdty",39.22
"553",2020-10-06,"BCOM.TR",152.3827
"554",2020-10-06,"GSCI.TR",1744.396
"555",2020-10-06,"XAUUSD.Curncy",1878.18
"556",2020-10-06,"S.P500.TR",6916.4
"557",2020-10-06,"ABCTRI",4461.547604
"558",2020-10-06,"CL1.Comdty",40.67
"559",2020-10-07,"BCOM.TR",153.2484
"560",2020-10-07,"GSCI.TR",1739.479
"561",2020-10-07,"XAUUSD.Curncy",1887.42
